molecule_id,smiles,label
23,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1,1
123,CC1OC1P(=O)(O)O.NC(CO)(CO)CO,1
137,O=C(C=Cc1ccc(O)c(O)c1)OCCc1ccccc1,1
142,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,1
144,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,1
160,Oc1cc(O)c2c(c1)OC1(c3ccc(O)c(O)c3)Oc3cc(O)c4c(c3C2C1O)OC(c1ccc(O)c(O)c1)C(O)C4,0
161,CC1OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC1=O,1
163,CN(C)Cc1c[nH]c2ccccc12,1
166,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],1
169,NC(=O)c1ncn(C2OC(CO)C(O)C2O)c1O,1
200,Cc1cc(O)cc(Oc2cc(C)cc(O)c2O)c1,1
216,CC1=C2Cc3cc(ccc3O)C(=O)OC(C(C)(C)Br)CCC(C)(O)C(Br)CCC2(C)C(Br)CC1,1
222,CN1C(=O)C(c2cc(Cl)c(O)c(Cl)c2)NC(=O)C2NC(=O)C(c3cc(Cl)c(O)c(Cl)c3)NC(=O)C(NC(=O)C(=O)c3cc(Cl)c(O)c(Cl)c3)Cc3c[nH]c4cc(ccc34)-c3cc2cc(c3O)Oc2ccc(cc2)CC1C(=O)NC(C(=O)O)c1ccc(O)cc1,1
237,COc1ccc(C23Oc4cc(OC)cc(OC)c4C(O)(C(C(=O)NCCCCNC(=O)c4ccccc4)C2c2ccccc2)C3O)cc1,1
294,CC(C)=CCc1c2c(c(O)c3c1OC14C(=CC5CC1(CC=C(C)C(=O)O)C(C)(C)OC4C5=O)C3=O)C=CC(C)(C)O2,1
335,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OCCO)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,1
343,CC1(C)CCC2(C(=O)O)CCC3(C)C(=C2C1)C=CC1C2(C)CCC(O)C(C)(CO)C2CCC13C,1
344,CC1(C)CCC2(C(=O)O)CCC3(C)C(=C2C1)C=CC1C2(C)CCC(O)C(C)(C=O)C2CCC13C,1
346,COC1C=C2C3CC(C)(C)CCC3(C(=O)O)CCC2(C)C2(C)CCC3C(C)(C)C(O)CCC3(C)C12,1
353,CC(C)CCCCCCCC1CC(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O1,1
354,CC(C)CCCCCCCCC1CC(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O1,1
355,CC(C)CCCCCCCCCC1CC(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O1,1
356,CC(C)CCCCCCCCCCC1CC(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O1,1
367,NC1CONC1=O,1
373,CC(C)C([NH3+])C(=O)OC(C)C1CC=CCCC(O)C(C)(C)C2CCC(C)C3(O2)O[B-]24OC(C(=O)O1)C1(OC(CCC1C)C(C)(C)C(O)CCCC1CC(OC(=O)C3O2)C(C)O1)O4,1
376,CC(=O)N(O)CCCP(=O)(O)O,1
379,Nc1ncnc2c1ncn2C1OC(CO)C1CO,1
392,N#CSO,1
400,[N-]=[N+]=CC(=O)CCC(N)C(=O)O,1
404,CC=CC1C=CC2CC(C)CCC2C1(C)C(O)=C1C(=O)C(CO)N(C)C1=O,1
645,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,1
646,COc1ccc(CC2NCC(O)C2OC(C)=O)cc1,1
649,CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,1
654,CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC(O)C(C(=O)O)C(O)CC(=O)CC(O)CC(O)CC(O)CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(O)CC(=O)c1ccc(N)cc1,1
655,OCC(O)COc1ccc(Cl)cc1,1
662,CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,1
663,CC1C=CC=CCCC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC(O)C(C(=O)O)C(O)CC(=O)CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)OC(C)C(C)C1O,1
673,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,1
674,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,1
675,CCC(=O)O,1
677,Cc1cc(C2CCCCC2)n([O-])c(=O)c1.[NH3+]CCO,1
683,O=[N+]([O-])c1c(Cl)cccc1-c1c[nH]cc1Cl,1
688,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1,1
690,COC1C(OC(=O)C=CC=CC=CC=CC(=O)O)CCC2(CO2)C1C1(C)OC1CC=C(C)C,1
694,Oc1c(Cl)cc(Cl)c2cccnc12,1
698,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.[Cl-],1
705,Clc1ccc(C(Cn2ccnc2)OCc2ccc(Sc3ccccc3)cc2)c(Cl)c1.O=[N+]([O-])O,1
706,Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1,1
716,Cc1cc(C2CCCCC2)n(O)c(=O)c1,1
717,CC1C=CC=CCCC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,1
724,COc1cc2c(cc1O)CC1NCCc3cc4c(c-2c31)OCO4,1
726,CCCCCCC1C(=O)OC(C)C(NC(=O)c2cccc(NC=O)c2O)C(=O)OC(C)C1OC(=O)CC(C)C,1
730,COC1=CC(=O)c2c(c(O)c3oc4cc(OC)cc(C)c4c(=O)c3c2O)C1=O,1
749,CN1C(=O)C23CC4=CC=CC(O)C4N2C(=O)C1(CO)SS3,1
752,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,1
758,CC1=COC(=O)C2C(C)CCC12,1
759,CCC1C=CC=CCC(C)C(O)C(C)(O)C(=O)C(C)C(O)C(C)C(=O)C(C)C(O)C(C)C=CC(=O)OC2CC3(CCC(C)C(CC(C)O)O3)OC(CC1)C2C,1
772,CN(C)C(=S)SSC(=S)N(C)C,1
778,CC(C)c1cccc(=O)c(O)c1,1
779,CN(CCC(N)CC(=O)NC1C=CC(n2ccc(N)nc2=O)OC1C(=O)O)C(=N)N,1
787,C=CCO,1
801,CCC1(C2OC(C3OC(O)(CO)C(C)CC3C)CC2C)CCC(C2(C)CCC3(CC(O)C(C)C(C(C)C(OC)C(C)C(=O)O)O3)O2)O1,1
808,CCC1C=CC=CCC(C)C(O)C(C)(O)C(=O)C(C)C(O)C(C)C(=O)C(C)C(O)C(C)C=CC(=O)OC2C(C)C(CC1)OC1(CCC(C)C(CC(C)O)O1)C2C,1
809,C=CCSS(=O)CC=C,1
813,CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,1
814,O=[As][O-].[Na+],1
815,OCC1=CC(NC2CC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,1
826,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,1
829,COP(=O)(OC)OC=C(Cl)Cl,1
832,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,1
833,CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,1
837,COc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,1
839,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,1
841,CNC(=O)C(C)SCCSP(=O)(OC)OC,1
847,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],1
858,Oc1c(Br)cc(Br)cc1Br,1
860,Oc1cccc2cccnc12,1
871,CCCCCC=CC=O,0
873,O=C(O)c1cccc2nc3ccccc3nc12,1
876,[C-]#[N+]C1C2c3c(C(C)(C)C=C)[nH]c4cccc(c34)C(C)(C)C2CCC1(C)C=C,1
877,[C-]#[N+]C12C3OC3C(C)(C)c3[nH]c4cccc5c4c3C1(O)C(CCC2(C)C=C)C5(C)C,1
878,O=c1oc2cc(O)ccc2c(O)c1-c1ccc(O)cc1O,1
879,O=c1oc2cc(O)ccc2c(O)c1-c1ccc(OC2OC(CO)C(O)C(O)C2O)cc1O,1
881,COc1c(O)c(C)c(OC)c2c1CCc1c(O)cccc1O2,1
882,COC1=C(C)C(=O)C2=C(CCc3cc(O)ccc3O2)C1=O,1
883,COC1=CC(=O)C2=C(CCc3ccccc3O2)C1=O,1
886,COc1ccc(Br)c2c1[nH]c1c(C)nccc12,1
887,CC=CCCC1Cc2cc(O)c(CCCC)c(O)c2C(=O)O1,1
911,CC=CCCCCC(=O)C(C)C(=O)N1CCCC1CO,1
930,CC(C)=CCc1c(O)ccc(C(=O)C2C(c3c(O)cc(-c4cc5ccc(O)cc5o4)cc3O)C=C(C)CC2c2ccc(O)cc2O)c1O,1
932,COc1cc(C2c3c(cc(OC)c(O)c3OC)CC(CO)C2COC2OC(CO)C(O)C(O)C2O)cc(OC)c1O,1
946,O=[N+]([O-])c1ccc(O)c2ncccc12,1
951,Cc1cc(O)c(C(=O)c2c(O)ccc(O)c2C)c(O)c1-c1c(C)cc(O)c(C(=O)c2c(O)ccc(O)c2C)c1O,1
952,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC43C)C2C1,1
969,CCC(C)CCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,1
982,O=C(C=CC=CC=CC1CCCCC1)NC1=CC(O)(C=CC=CC=CC(=O)NC2=C(O)CCC2=O)C2OC2C1=O,1
983,Oc1c(I)cc(Cl)c2cccnc12,1
987,CCCCCCCCCCCCNC(=N)N,1
988,CC(=O)O.CCCCCCCCCCCCNC(=N)N,1
989,Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCC1=NC(c2nc(C(=O)NCCCCNC(=N)N)cs2)CS1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1c[nH]cn1,1
991,CN1CSC(=S)N(C)C1,1
995,C=CC(C)(O)CCC1C(=C)CCC2C(C)(C)CCCC12C,1
996,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,1
1003,CC1CC(C)CC(C)C(O)C(C#N)=CC=CCC(C2CCCC2C(=O)O)OC(=O)CC(O)C(C)C1,1
1004,CC(=O)c1c(O)cc(O)c(C(C)=O)c1O,1
1007,NC(=O)OCC(O)C(O)C(N)C(=O)NC(C(=O)O)C1OC(n2cc(C(=O)O)c(=O)[nH]c2=O)C(O)C1O,1
1012,COc1oc(C2CC(=CC(C)=Cc3ccc([N+](=O)[O-])cc3)CO2)c(C)c(=O)c1C,1
1014,CC1OC(OC2C(O)C(O)C(O)C(O)C2O)C(N)CC1NC(=N)C(=O)O,0
1062,CCCCCCCCn1sccc1=O,1
1126,O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)Nc1cccc(Cl)c1Cl,1
1151,C=C1C(=O)OCC1O,1
1152,C=C(C(=O)OCC1OC(O)C(O)C(O)C1O)C(O)CO,1
1162,O=C1NC(c2c[nH]c3ccc(O)cc23)=CC1=C1C(=O)Nc2ccccc21,1
1163,O=C1NC(c2c[nH]c3ccccc23)=CC1=C1C(=O)Nc2ccccc21,1
1172,N#CSCSC#N,1
1174,CC(=O)C1C(=O)C=C(C)OC1=O,1
1175,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,1
1182,Oc1ccc(C2OCC3OC3O2)cc1,1
1203,COc1ccc(O)c2c(-c3ccccc3)c[nH]c(=O)c12,1
1206,COC(=O)C(CCC=C(C)C)=C1C(OC(C)=O)CC2(C)C1CCC1C3(C)C=CC(=O)C(C)C3C(OC(C)=O)C(=O)C12C,1
1222,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,1
1231,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,1
1232,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O.O=S(=O)(O)O.O=S(=O)(O)O,1
1233,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,1
1234,CNC1C(OC2OC(CO)C(N)C(O)C2O)OC2CC(N)C(OC3C(N)CC(N)C(O)C3O)OC2C1O,1
1235,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,1
1236,CC1(C)SC2C(NC(=O)C(NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2C1C(=O)O,1
1237,CC(O)C1C(=O)N2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)C(C)C12,1
1238,O=c1ccc2nccc3c4ccccc4n1c23,1
1239,CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2C1C(=O)O,1
1240,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1,1
1241,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1,1
1242,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1,1
1243,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(OC=O)c3ccccc3)C2SC1.[Na+],1
1244,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1,1
1245,COC1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,1
1246,O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CSC2C(NC(=O)C(O)c3ccccc3)C(=O)N12,1
1247,CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)C(=O)C1=O,1
1248,NCc1ccccc1CC(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CSC12,1
1249,COC1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,1
1250,COCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOC)c3csc(N)n3)C2SC1,1
1251,COCC1=C(C(=O)OC(C)OC(=O)OC(C)C)N2C(=O)C(NC(=O)C(=NOC)c3csc(N)n3)C2SC1,1
1252,CC=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1,1
1253,NC(=O)c1cc[n+](CC2=C(C(=O)[O-])N3C(=O)C(NC(=O)C(c4ccccc4)S(=O)(=O)O)C3SC2)cc1,1
1254,CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)O,1
1255,Nc1nc(C(=CCC(=O)O)C(=O)NC2C(=O)N3C(C(=O)O)=CCSC23)cs1,1
1256,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,1
1257,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1.O,1
1258,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12,1
1259,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1.[Na+],1
1260,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)C3=CCC=CC3)C2SC1,1
1261,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,1
1262,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,1
1263,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,1
1264,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,1
1265,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12,1
1266,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1
1267,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1,1
1268,CCC(CO)NCCNC(CC)CO,1
1269,CCC(CO)[NH2+]CC[NH2+]C(CC)CO.[Cl-].[Cl-],1
1270,CCc1cc(C(N)=S)ccn1,1
1271,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1
1272,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,1
1273,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,1
1274,CC1(C)SC2C(N3C(=O)C(c4ccccc4)NC3(C)C)C(=O)N2C1C(=O)O,1
1275,CC(C)=CCC1=C(O)C(O)(CC=C(C)C)C(=O)C(C(=O)CC(C)C)=C1O,1
1276,NNC(=O)c1ccncc1,1
1277,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O.O=S(=O)(O)O,1
1278,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21.Cl,1
1279,CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(C(=O)N(C)C)C3)C(C)C12.O.O.O,1
1280,C=C1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C12,1
1281,C1N2CN3CN1CN(C2)C3,1
1282,COc1cccc(OC)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1
1283,Cc1ncc([N+](=O)[O-])n1CCO,1
1284,CC1(C)SC2C(NC(=O)C(NC(=O)N3CCN(S(C)(=O)=O)C3=O)c3ccccc3)C(=O)N2C1C(=O)O,1
1285,COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12.Cl,1
1286,CC(=CC(=O)OCCCCCCCCC(=O)O)CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O,1
1287,CCOc1ccc2ccccc2c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1
1288,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,1
1289,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1
1290,Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1
1291,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O,1
1292,CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)c2ccccc2)C(=O)C1=O,1
1293,CCC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(c2ccccc2)NC(=O)C2CC(=O)CCN2C(=O)C(Cc2ccc(N(C)C)cc2)N(C)C(=O)C2CCCN2C1=O,1
1294,Nc1ccc(N=Nc2ccc(S(N)(=O)=O)cc2)c(N)c1,1
1295,[Cl-].[Cl-].[NH3+]c1cc([As]=[As]c2ccc(O)c([NH3+])c2)ccc1O,1
1296,Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1.[Ag+],1
1297,CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O,1
